pen,easting,northing
APT1_01,199154.87918160122,734061.9337284171
APT1_02,199185.2659244395,734016.8345757416
APT1_03,199214.73047129513,733968.0476984414
APT1_04,199244.92227510473,733926.688765806
APT1_05,199274.282188012,733875.6675545202
APT1_06,199115.3266271532,734024.2610519499
APT1_07,199145.34020797594,733979.1789266131
APT1_08,199174.12920233648,733931.9159512916
APT1_09,199203.66500773837,733884.6172646468
APT1_10,199229.5768761341,733839.7292600031
FFMC27_01,186456.77077769584,734177.9212916102
FFMC27_02,186581.23085103658,734266.9684267502
FFMC27_03,186643.44029191264,734311.1239731796
FFMC27_04,186750.8330657929,734296.8382180273
FFMC27_05,186689.2517299332,734250.4323984305
FFMC27_06,186624.78885424373,734205.6502240265
FFMC27_07,186501.7309639488,734115.0515915236
FFMC27_08,186332.6153396427,733948.4420530227
FFMC27_09,186288.39315412653,733923.3316541903
FFMC27_10,186247.93841928014,733899.5091965011
FFMC32_01,202436.65609118182,733143.4420710295
FFMC32_02,202484.77590113494,733160.3905627858
FFMC32_03,202532.1847281783,733178.3829848613
FFMC32_04,202550.99301822868,733131.2833792336
FFMC32_05,202503.05515164178,733112.810044112
FFMC32_06,202454.87605927192,733094.6009704422
FFMC84_01,203183.42614549815,733048.8777525577
FFMC84_02,203218.40471882917,733071.7503094078
FFMC84_03,203253.22412899238,733096.650993031
FFMC84_04,203287.02122979483,733121.3467407973
FFMC84_05,203319.7843281042,733145.5855064497
FFMC84_06,203343.6977460099,733110.1236574297
FFMC84_07,203310.45288094325,733086.4120451066
FFMC84_08,203276.47343557907,733063.2398366597
FFMC84_09,203242.17073276115,733038.5672947358
FFMC84_10,203207.12169748297,733014.1821438113
SAR1_01,198227.04526740528,734125.1358864802
SAR1_02,198277.42912831545,734157.5911114193
SAR1_03,198328.63385405796,734193.0533489727
SAR1_04,198378.6777051891,734225.5252887468
SAR1_05,198428.6724625734,734256.9845382915
SAR1_06,198460.81858240534,734205.7030376748
SAR1_07,198411.79029181483,734173.1816106045
SAR1_08,198359.32927426067,734139.8087959902
SAR1_09,198309.55821562963,734105.9695228654
SAR1_10,198258.51341016556,734073.8834602629
