pen,easting,northing
APT1_01,199154.87918160122,734061.9337284171
APT1_02,199185.2659244395,734016.8345757416
APT1_03,199214.73047129513,733968.0476984414
APT1_04,199244.92227510473,733926.688765806
APT1_05,199274.282188012,733875.6675545202
APT1_06,199115.3266271532,734024.2610519499
APT1_07,199145.34020797594,733979.1789266131
APT1_08,199174.12920233648,733931.9159512916
APT1_09,199203.66500773837,733884.6172646468
APT1_10,199229.5768761341,733839.7292600031
ARDG1_01,201508.34380407087,764693.9947094088
ARDG1_02,201572.00752668586,764647.5934102413
ARDG1_03,201523.73912930896,764588.0940279242
ARDG1_04,201477.28538888574,764525.2214563187
ARDG1_05,201431.0169988999,764466.2835756284
ARDG1_06,201384.6228305026,764404.7217749218
ARDG1_07,201323.6170571488,764451.6595640513
ARDG1_08,201369.85605230182,764509.9407237554
ARDG1_09,201417.56375261443,764571.4383982033
ARDG1_10,201463.26745483547,764632.3732933657
CALL1_01,208140.7462881098,759543.3014482674
CALL1_02,208005.21344098347,759448.83166722
CALL1_03,207868.25450418607,759409.7025718858
CALL1_04,207965.61575999096,759563.1631021657
FFMC19_01,193247.52670518545,741666.0968234462
FFMC19_02,193197.76994312552,741661.3215811463
FFMC19_03,193143.51918769826,741660.7354634193
FFMC19_04,193089.84837519247,741657.2356609587
FFMC19_05,193039.16828101917,741655.7542096159
FFMC19_06,192986.5187017061,741658.338189457
FFMC19_07,192933.102215691,741652.6634121923
FFMC19_08,192920.01621051936,741702.7273850914
FFMC19_09,192972.4989178489,741704.1188344652
FFMC19_10,193024.74456880067,741708.0477391325
FFMC19_11,193078.0012925025,741710.4847205944
FFMC19_12,193131.18731322838,741711.4828880619
FFMC19_13,193184.96325476168,741717.142343802
FFMC19_14,193239.10741919966,741715.5697248757
FFMC20_01,193886.59127591603,741954.0549384935
FFMC20_02,193844.455316906,741927.6185293328
FFMC20_03,193804.5175623827,741901.796263321
FFMC20_04,193759.28464164128,741871.1830952202
FFMC20_05,193717.97384131848,741846.8712120402
FFMC20_06,193673.6369367113,741819.8218199349
FFMC20_07,193632.92307610865,741792.9560912622
FFMC20_08,193602.52937125065,741836.6480152975
FFMC20_09,193646.215842287,741865.1712862848
FFMC20_10,193688.608705115,741889.4294548512
FFMC20_11,193731.57285741347,741917.9884672221
FFMC20_12,193775.49501832348,741943.9758421046
FFMC20_13,193819.1791908232,741972.5000419284
FFMC20_14,193860.57614746675,741998.6113101707
FFMC27_01,186456.77077769584,734177.9212916102
FFMC27_02,186581.23085103658,734266.9684267502
FFMC27_03,186643.44029191264,734311.1239731796
FFMC27_04,186750.8330657929,734296.8382180273
FFMC27_05,186689.2517299332,734250.4323984305
FFMC27_06,186624.78885424373,734205.6502240265
FFMC27_07,186501.7309639488,734115.0515915236
FFMC27_08,186332.6153396427,733948.4420530227
FFMC27_09,186288.39315412653,733923.3316541903
FFMC27_10,186247.93841928014,733899.5091965011
FFMC32_01,202436.65609118182,733143.4420710295
FFMC32_02,202484.77590113494,733160.3905627858
FFMC32_03,202532.1847281783,733178.3829848613
FFMC32_04,202550.99301822868,733131.2833792336
FFMC32_05,202503.05515164178,733112.810044112
FFMC32_06,202454.87605927192,733094.6009704422
FFMC41_01,184920.24450150586,740161.8279544753
FFMC41_02,184884.08309860117,740124.8027867721
FFMC41_03,184851.05524537002,740088.1360113708
FFMC41_04,184815.3842391512,740050.5673662472
FFMC41_05,184781.31926252076,740013.953226679
FFMC41_06,184745.12903688304,739976.4108354389
FFMC41_07,184710.07961820866,739940.8832345222
FFMC41_08,184674.84502232133,739901.7370466115
FFMC41_09,184638.70565594078,739865.2282986528
FFMC56_01,183331.09456638448,730571.9850584394
FFMC56_02,183352.02112357243,730600.6879458493
FFMC56_03,183371.67564748452,730629.8873007256
FFMC56_04,183392.2144433689,730659.4727657475
FFMC56_05,183413.11816488582,730687.7449377404
FFMC56_06,183434.86210274365,730715.5425168452
FFMC56_07,183454.0182737385,730743.4723646666
FFMC56_08,183475.00923730733,730773.4656609081
FFMC56_09,183494.64016066745,730802.2339289682
FFMC56_10,183517.28950092502,730830.8476979246
FFMC60_01,182040.0723454716,740691.984233507
FFMC60_02,182097.5181061274,740723.4665099884
FFMC60_03,182157.8552849584,740754.0669706854
FFMC60_04,182214.87644401507,740784.4726282959
FFMC60_05,182273.84114873613,740816.977259983
FFMC60_06,182307.59997845828,740759.5311275215
FFMC60_07,182250.11871056323,740727.3154227496
FFMC60_08,182131.36991737946,740667.8450867874
FFMC60_09,182073.19118751364,740636.3997407923
FFMC84_01,203183.42614549815,733048.8777525577
FFMC84_02,203218.40471882917,733071.7503094078
FFMC84_03,203253.22412899238,733096.650993031
FFMC84_04,203287.02122979483,733121.3467407973
FFMC84_05,203319.7843281042,733145.5855064497
FFMC84_06,203343.6977460099,733110.1236574297
FFMC84_07,203310.45288094325,733086.4120451066
FFMC84_08,203276.47343557907,733063.2398366597
FFMC84_09,203242.17073276115,733038.5672947358
FFMC84_10,203207.12169748297,733014.1821438113
GORS1_01,206312.47150662416,770861.7984935456
GORS1_02,206144.70362454077,770656.8534027954
GORS1_03,205973.02371105738,770437.579490645
KING1_01,185539.39056653867,752018.0258124731
KING1_02,185482.98222556608,752064.8170946498
KING1_03,185387.98229713232,752150.6771222193
KING1_04,185334.9245066853,752196.1626089732
KING1_05,185379.48374132387,752244.2330156224
KING1_06,185431.08583189148,752199.9585373764
KING1_07,185530.98451904586,752113.4719090015
KING1_08,185582.21142897118,752069.2174451883
SAR1_01,198227.04526740528,734125.1358864802
SAR1_02,198277.42912831545,734157.5911114193
SAR1_03,198328.63385405796,734193.0533489727
SAR1_04,198378.6777051891,734225.5252887468
SAR1_05,198428.6724625734,734256.9845382915
SAR1_06,198460.81858240534,734205.7030376748
SAR1_07,198411.79029181483,734173.1816106045
SAR1_08,198359.32927426067,734139.8087959902
SAR1_09,198309.55821562963,734105.9695228654
SAR1_10,198258.51341016556,734073.8834602629
SHUI1_01,192596.87074231025,749749.0801158053
SHUI1_02,192578.66242043304,749703.0210592118
SHUI1_03,192560.05655797335,749656.6024499392
SHUI1_04,192542.51143323714,749608.6162618427
SHUI1_05,192525.04047280634,749562.1407027468
SHUI1_06,192477.29408056496,749578.8867924187
SHUI1_07,192495.1254359829,749624.9655501392
SHUI1_08,192511.89534236703,749672.6109656557
SHUI1_09,192529.34744759597,749718.7074699149
SHUI1_10,192547.95343234518,749765.1252682133
